Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Highly reproducible absolute quantification of Mycobacterium tuberculosis complex by digital PCR.","/pubmed/25646934","Devonshire AS, Honeyborne I, Gutteridge A, Whale AS, Nixon G, Wilson P, Jones G, McHugh TD, Foy CA, Huggett JF.","Anal Chem. 2015 Apr 7;87(7):3706-13. doi: 10.1021/ac5041617.","Anal Chem.  2015","PubMed","citation","PMID:25646934","pubmed","25646934","create date:2015/02/04 | first author:Devonshire AS",
"Standard free droplet digital polymerase chain reaction as a new tool for the quality control of high-capacity adenoviral vectors in small-scale preparations.","/pubmed/25640117","Boehme P, Stellberger T, Solanki M, Zhang W, Schulz E, Bergmann T, Liu J, Doerner J, Baiker AE, Ehrhardt A.","Hum Gene Ther Methods. 2015 Feb;26(1):25-34. doi: 10.1089/hgtb.2014.138.","Hum Gene Ther Methods.  2015","PubMed","citation","PMID:25640117 | PMCID:PMC4337465","pubmed","25640117","create date:2015/02/03 | first author:Boehme P",
"Reverse transcriptase droplet digital PCR shows high resilience to PCR inhibitors from plant, soil and water samples.","/pubmed/25628753","Rački N, Dreo T, Gutierrez-Aguirre I, Blejec A, Ravnikar M.","Plant Methods. 2014 Dec 31;10(1):42. doi: 10.1186/s13007-014-0042-6.","Plant Methods.  2014","PubMed","citation","PMID:25628753 | PMCID:PMC4307183","pubmed","25628753","create date:2015/01/30 | first author:Rački N",
"Novel exons in the tbx5 gene locus generate protein isoforms with distinct expression domains and function.","/pubmed/25623069","Yamak A, Georges RO, Sheikh-Hassani M, Morin M, Komati H, Nemer M.","J Biol Chem. 2015 Mar 13;290(11):6844-56. doi: 10.1074/jbc.M114.634451.","J Biol Chem.  2015","PubMed","citation","PMID:25623069 | PMCID:PMC4358110","pubmed","25623069","create date:2015/01/28 | first author:Yamak A",
"Quantitative expression analysis of APP pathway and tau phosphorylation-related genes in the ICV STZ-induced non-human primate model of sporadic Alzheimer's disease.","/pubmed/25622254","Park SJ, Kim YH, Nam GH, Choe SH, Lee SR, Kim SU, Kim JS, Sim BW, Song BS, Jeong KJ, Lee Y, Park YI, Lee KM, Huh JW, Chang KT.","Int J Mol Sci. 2015 Jan 22;16(2):2386-402. doi: 10.3390/ijms16022386.","Int J Mol Sci.  2015","PubMed","citation","PMID:25622254 | PMCID:PMC4346842","pubmed","25622254","create date:2015/01/27 | first author:Park SJ",
"Chorioamnionitis Occurring in Women With Preterm Rupture of the Fetal Membranes Is Associated With a Dynamic Increase in mRNAs Coding Cytokines in the Maternal Circulation.","/pubmed/25616398","Stock O, Gordon L, Kapoor J, Walker SP, Whitehead C, Kaitu'u-Lino TJ, Pell G, Hannan NJ, Tong S.","Reprod Sci. 2015 Jul;22(7):852-9. doi: 10.1177/1933719114565034.","Reprod Sci.  2015","PubMed","citation","PMID:25616398 | PMCID:PMC4565477","pubmed","25616398","create date:2015/01/27 | first author:Stock O",
"Identification and expression analysis of a novel intragenic EFNB1 mutation causing craniofrontonasal syndrome.","/pubmed/25606386","Chacon-Camacho OF, Arce-Gonzalez R, Villegas-Ruiz V, Pelcastre-Luna E, Uría-Gómez CE, Granillo-Alvarez M, Zenteno JC.","Meta Gene. 2013 Nov 28;2:25-31. doi: 10.1016/j.mgene.2013.11.001.","Meta Gene.  2013","PubMed","citation","PMID:25606386 | PMCID:PMC4287793","pubmed","25606386","create date:2015/01/22 | first author:Chacon-Camacho OF",
"Brain tumor mutations detected in cerebral spinal fluid.","/pubmed/25605683","Pan W, Gu W, Nagpal S, Gephart MH, Quake SR.","Clin Chem. 2015 Mar;61(3):514-22. doi: 10.1373/clinchem.2014.235457.","Clin Chem.  2015","PubMed","citation","PMID:25605683","pubmed","25605683","create date:2015/01/22 | first author:Pan W",
"DNA copy number concentration measured by digital and droplet digital quantitative PCR using certified reference materials.","/pubmed/25600685","Corbisier P, Pinheiro L, Mazoua S, Kortekaas AM, Chung PY, Gerganova T, Roebben G, Emons H, Emslie K.","Anal Bioanal Chem. 2015 Mar;407(7):1831-40. doi: 10.1007/s00216-015-8458-z.","Anal Bioanal Chem.  2015","PubMed","citation","PMID:25600685 | PMCID:PMC4336415","pubmed","25600685","create date:2015/01/21 | first author:Corbisier P",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"A droplet digital PCR detection method for rare L1 insertions in tumors.","/pubmed/25598847","White TB, McCoy AM, Streva VA, Fenrich J, Deininger PL.","Mob DNA. 2014 Dec 31;5(1):30. doi: 10.1186/s13100-014-0030-4.","Mob DNA.  2014","PubMed","citation","PMID:25598847 | PMCID:PMC4297411","pubmed","25598847","create date:2015/01/20 | first author:White TB",
"[Effect of simvastatin on retinal Bcl-2/Bax expression and cell apoptosis in rats with ischemia-reperfusion injury].","/pubmed/25582208","Zhang Y, Yan H.","Zhonghua Yan Ke Za Zhi. 2014 Nov;50(11):826-32. Chinese. ","Zhonghua Yan Ke Za Zhi.  2014","PubMed","citation","PMID:25582208","pubmed","25582208","create date:2015/01/15 | first author:Zhang Y",
"Isothermal circular-strand-displacement polymerization of DNA and microRNA in digital microfluidic devices.","/pubmed/25579461","Giuffrida MC, Zanoli LM, D'Agata R, Finotti A, Gambari R, Spoto G.","Anal Bioanal Chem. 2015 Feb;407(6):1533-43. doi: 10.1007/s00216-014-8405-4.","Anal Bioanal Chem.  2015","PubMed","citation","PMID:25579461","pubmed","25579461","create date:2015/01/13 | first author:Giuffrida MC",
"Detection of Mycobacterium tuberculosis genome in vitreous fluid of eyes with multifocal serpiginoid choroiditis.","/pubmed/25578256","Bansal R, Sharma K, Gupta A, Sharma A, Singh MP, Gupta V, Mulkutkar S, Dogra M, Dogra MR, Kamal S, Sharma SP, Fiorella PD.","Ophthalmology. 2015 Apr;122(4):840-50. doi: 10.1016/j.ophtha.2014.11.021.","Ophthalmology.  2015","PubMed","citation","PMID:25578256","pubmed","25578256","create date:2015/01/13 | first author:Bansal R",
"Global transcriptome analysis of developing chickpea (Cicer arietinum L.) seeds.","/pubmed/25566273","Pradhan S, Bandhiwal N, Shah N, Kant C, Gaur R, Bhatia S.","Front Plant Sci. 2014 Dec 16;5:698. doi: 10.3389/fpls.2014.00698.","Front Plant Sci.  2014","PubMed","citation","PMID:25566273 | PMCID:PMC4267183","pubmed","25566273","create date:2015/01/08 | first author:Pradhan S",
"Emerging methods to study bacteriophage infection at the single-cell level.","/pubmed/25566233","Dang VT, Sullivan MB.","Front Microbiol. 2014 Dec 23;5:724. doi: 10.3389/fmicb.2014.00724. Review.","Front Microbiol.  2014","PubMed","citation","PMID:25566233 | PMCID:PMC4274963","pubmed","25566233","create date:2015/01/08 | first author:Dang VT",
"Usefulness of nanofluidic digital PCR arrays to quantify T790M mutation in EGFR-mutant lung adenocarcinoma.","/pubmed/25560642","Isobe K, Hata Y, Tochigi N, Kaburaki K, Kobayashi H, Makino T, Otsuka H, Ishida F, Hirota N, Sano G, Sugino K, Sakamoto S, Takai Y, Shibuya K, Iyoda A, Homma S.","Cancer Genomics Proteomics. 2015 Jan-Feb;12(1):31-7.","Cancer Genomics Proteomics.  2015","PubMed","citation","PMID:25560642","pubmed","25560642","create date:2015/01/07 | first author:Isobe K",
"Tissue Microarray Technology for Molecular Applications: Investigation of Cross-Contamination between Tissue Samples Obtained from the Same Punching Device.","/pubmed/27600219","Vassella E, Galván JA, Zlobec I.","Microarrays (Basel). 2015 Apr 2;4(2):188-95. doi: 10.3390/microarrays4020188.","Microarrays (Basel).  2015","PubMed","citation","PMID:27600219 | PMCID:PMC4996394","pubmed","27600219","create date:2015/01/01 | first author:Vassella E",
"Liquid Biopsies in the Screening of Oncogenic Mutations in NSCLC and its Application in Targeted Therapy.","/pubmed/27279235","Tang JH, Chia D.","Crit Rev Oncog. 2015;20(5-6):357-71. doi: 10.1615/CritRevOncog.v20.i5-6.90.","Crit Rev Oncog.  2015","PubMed","citation","PMID:27279235","pubmed","27279235","create date:2015/01/01 | first author:Tang JH",
"Droplet digital PCR for simultaneous quantification of general and human-associated fecal indicators for water quality assessment.","/pubmed/25543243","Cao Y, Raith MR, Griffith JF.","Water Res. 2015 Mar 1;70:337-49. doi: 10.1016/j.watres.2014.12.008.","Water Res.  2015","PubMed","citation","PMID:25543243","pubmed","25543243","create date:2014/12/30 | first author:Cao Y",
"Digital gene expression profiling (DGE) of cadmium-treated Drosophila melanogaster.","/pubmed/25543212","Guan D, Mo F, Han Y, Gu W, Zhang M.","Environ Toxicol Pharmacol. 2015 Jan;39(1):300-6. doi: 10.1016/j.etap.2014.11.024.","Environ Toxicol Pharmacol.  2015","PubMed","citation","PMID:25543212","pubmed","25543212","create date:2014/12/30 | first author:Guan D",
"An integrative analysis of PIK3CA mutation, PTEN, and INPP4B expression in terms of trastuzumab efficacy in HER2-positive breast cancer.","/pubmed/25542038","Sueta A, Yamamoto Y, Yamamoto-Ibusuki M, Hayashi M, Takeshita T, Yamamoto S, Iwase H.","PLoS One. 2014 Dec 26;9(12):e116054. doi: 10.1371/journal.pone.0116054.","PLoS One.  2014","PubMed","citation","PMID:25542038 | PMCID:PMC4277449","pubmed","25542038","create date:2014/12/30 | first author:Sueta A",
"Quantification of epigenetic biomarkers: an evaluation of established and emerging methods for DNA methylation analysis.","/pubmed/25539843","Redshaw N, Huggett JF, Taylor MS, Foy CA, Devonshire AS.","BMC Genomics. 2014 Dec 23;15:1174. doi: 10.1186/1471-2164-15-1174.","BMC Genomics.  2014","PubMed","citation","PMID:25539843 | PMCID:PMC4523014","pubmed","25539843","create date:2014/12/30 | first author:Redshaw N",
"Increased expression of chemerin in endothelial cells due to Fli1 deficiency may contribute to the development of digital ulcers in systemic sclerosis.","/pubmed/25539827","Akamata K, Asano Y, Taniguchi T, Yamashita T, Saigusa R, Nakamura K, Noda S, Aozasa N, Toyama T, Takahashi T, Ichimura Y, Sumida H, Tada Y, Sugaya M, Kadono T, Sato S.","Rheumatology (Oxford). 2015 Jul;54(7):1308-16. doi: 10.1093/rheumatology/keu479.","Rheumatology (Oxford).  2015","PubMed","citation","PMID:25539827","pubmed","25539827","create date:2014/12/30 | first author:Akamata K",
"Identification of mRNAs that move over long distances using an RNA-Seq analysis of Arabidopsis/Nicotiana benthamiana heterografts.","/pubmed/25527829","Notaguchi M, Higashiyama T, Suzuki T.","Plant Cell Physiol. 2015 Feb;56(2):311-21. doi: 10.1093/pcp/pcu210.","Plant Cell Physiol.  2015","PubMed","citation","PMID:25527829","pubmed","25527829","create date:2014/12/21 | first author:Notaguchi M",
"Detection of BRAF-V600E and V600K in melanoma circulating tumour cells by droplet digital PCR.","/pubmed/25523300","Reid AL, Freeman JB, Millward M, Ziman M, Gray ES.","Clin Biochem. 2015 Oct;48(15):999-1002. doi: 10.1016/j.clinbiochem.2014.12.007.","Clin Biochem.  2015","PubMed","citation","PMID:25523300","pubmed","25523300","create date:2014/12/20 | first author:Reid AL",
"Intratumoral heterogeneity in a minority of ovarian low-grade serous carcinomas.","/pubmed/25523272","Tone AA, McConechy MK, Yang W, Ding J, Yip S, Kong E, Wong KK, Gershenson DM, Mackay H, Shah S, Gilks B, Tinker AV, Clarke B, McAlpine JN, Huntsman D.","BMC Cancer. 2014 Dec 18;14:982. doi: 10.1186/1471-2407-14-982.","BMC Cancer.  2014","PubMed","citation","PMID:25523272 | PMCID:PMC4320586","pubmed","25523272","create date:2014/12/20 | first author:Tone AA",
"Real-time tracking, retrieval and gene expression analysis of migrating human T cells.","/pubmed/25512266","Mehling M, Frank T, Albayrak C, Tay S.","Lab Chip. 2015 Mar 7;15(5):1276-83. doi: 10.1039/c4lc01038h.","Lab Chip.  2015","PubMed","citation","PMID:25512266","pubmed","25512266","create date:2014/12/17 | first author:Mehling M",
"RNA-Seq gene expression profiling of HepG2 cells: the influence of experimental factors and comparison with liver tissue.","/pubmed/25511409","Tyakht AV, Ilina EN, Alexeev DG, Ischenko DS, Gorbachev AY, Semashko TA, Larin AK, Selezneva OV, Kostryukova ES, Karalkin PA, Vakhrushev IV, Kurbatov LK, Archakov AI, Govorun VM.","BMC Genomics. 2014 Dec 15;15:1108. doi: 10.1186/1471-2164-15-1108.","BMC Genomics.  2014","PubMed","citation","PMID:25511409 | PMCID:PMC4378340","pubmed","25511409","create date:2014/12/17 | first author:Tyakht AV",
"Identification of TL-Om1, an adult T-cell leukemia (ATL) cell line, as reference material for quantitative PCR for human T-lymphotropic virus 1.","/pubmed/25502533","Kuramitsu M, Okuma K, Yamagishi M, Yamochi T, Firouzi S, Momose H, Mizukami T, Takizawa K, Araki K, Sugamura K, Yamaguchi K, Watanabe T, Hamaguchi I.","J Clin Microbiol. 2015 Feb;53(2):587-96. doi: 10.1128/JCM.02254-14.","J Clin Microbiol.  2015","PubMed","citation","PMID:25502533 | PMCID:PMC4298509","pubmed","25502533","create date:2014/12/17 | first author:Kuramitsu M",
"Accurate quantification of episomal HIV-1 two-long terminal repeat circles by use of optimized DNA isolation and droplet digital PCR.","/pubmed/25502524","Malatinkova E, Kiselinova M, Bonczkowski P, Trypsteen W, Messiaen P, Vermeire J, Verhasselt B, Vervisch K, Vandekerckhove L, De Spiegelaere W.","J Clin Microbiol. 2015 Feb;53(2):699-701. doi: 10.1128/JCM.03087-14.","J Clin Microbiol.  2015","PubMed","citation","PMID:25502524 | PMCID:PMC4298544","pubmed","25502524","create date:2014/12/17 | first author:Malatinkova E",
"Development of droplet digital PCR for the detection of Babesia microti and Babesia duncani.","/pubmed/25500215","Wilson M, Glaser KC, Adams-Fish D, Boley M, Mayda M, Molestina RE.","Exp Parasitol. 2015 Feb;149:24-31. doi: 10.1016/j.exppara.2014.12.003.","Exp Parasitol.  2015","PubMed","citation","PMID:25500215 | PMCID:PMC4314376","pubmed","25500215","create date:2014/12/17 | first author:Wilson M",
"High-throughput transcriptome analysis of barley (Hordeum vulgare) exposed to excessive boron.","/pubmed/25498907","Tombuloglu G, Tombuloglu H, Sakcali MS, Unver T.","Gene. 2015 Feb 15;557(1):71-81. doi: 10.1016/j.gene.2014.12.012.","Gene.  2015","PubMed","citation","PMID:25498907","pubmed","25498907","create date:2014/12/17 | first author:Tombuloglu G",
"Authentication of Ginkgo biloba herbal dietary supplements using DNA barcoding.","/pubmed/25495290","Little DP.","Genome. 2014 Sep;57(9):513-6. doi: 10.1139/gen-2014-0130.","Genome.  2014","PubMed","citation","PMID:25495290","pubmed","25495290","create date:2014/12/17 | first author:Little DP",
"Response of Caenorhabditis elegans to wireless devices radiation exposure.","/pubmed/25488006","Fasseas MK, Fragopoulou AF, Manta AK, Skouroliakou A, Vekrellis K, Margaritis LH, Syntichaki P.","Int J Radiat Biol. 2015 Mar;91(3):286-93. doi: 10.3109/09553002.2014.995384.","Int J Radiat Biol.  2015","PubMed","citation","PMID:25488006","pubmed","25488006","create date:2014/12/10 | first author:Fasseas MK",
"Quantification of circulating miRNAs by droplet digital PCR: comparison of EvaGreen- and TaqMan-based chemistries.","/pubmed/25472671","Miotto E, Saccenti E, Lupini L, Callegari E, Negrini M, Ferracin M.","Cancer Epidemiol Biomarkers Prev. 2014 Dec;23(12):2638-42. doi: 10.1158/1055-9965.EPI-14-0503.","Cancer Epidemiol Biomarkers Prev.  2014","PubMed","citation","PMID:25472671","pubmed","25472671","create date:2014/12/05 | first author:Miotto E",
"Species identification and quantification in meat and meat products using droplet digital PCR (ddPCR).","/pubmed/25466124","Floren C, Wiedemann I, Brenig B, Schütz E, Beck J.","Food Chem. 2015 Apr 15;173:1054-8. doi: 10.1016/j.foodchem.2014.10.138.","Food Chem.  2015","PubMed","citation","PMID:25466124","pubmed","25466124","create date:2014/12/04 | first author:Floren C",
"Past, present, and future perspectives on the diagnosis of Roseolovirus infections.","/pubmed/25462438","Hill JA, Sedlak RH, Jerome KR.","Curr Opin Virol. 2014 Dec;9:84-90. doi: 10.1016/j.coviro.2014.09.014. Review.","Curr Opin Virol.  2014","PubMed","citation","PMID:25462438 | PMCID:PMC4573551","pubmed","25462438","create date:2014/12/03 | first author:Hill JA",
"Hepatic nerve growth factor induced by iron overload triggers defenestration in liver sinusoidal endothelial cells.","/pubmed/25460199","Addo L, Tanaka H, Yamamoto M, Toki Y, Ito S, Ikuta K, Sasaki K, Ohtake T, Torimoto Y, Fujiya M, Kohgo Y.","Biochim Biophys Acta. 2015 Jan;1852(1):175-83. doi: 10.1016/j.bbadis.2014.11.014.","Biochim Biophys Acta.  2015","PubMed","citation","PMID:25460199","pubmed","25460199","create date:2014/12/03 | first author:Addo L",
"Stability of absolute copy number of housekeeping genes in preeclamptic and normal placentas, as measured by digital PCR.","/pubmed/25454476","Kaitu'u-Lino TJ, Hastie R, Cannon P, Lee S, Stock O, Hannan NJ, Hiscock R, Tong S.","Placenta. 2014 Dec;35(12):1106-9. doi: 10.1016/j.placenta.2014.10.003.","Placenta.  2014","PubMed","citation","PMID:25454476","pubmed","25454476","create date:2014/12/03 | first author:Kaitu'u-Lino TJ",
"Minimizing inhibition of PCR-STR typing using digital agarose droplet microfluidics.","/pubmed/25450795","Geng T, Mathies RA.","Forensic Sci Int Genet. 2015 Jan;14:203-9. doi: 10.1016/j.fsigen.2014.10.007.","Forensic Sci Int Genet.  2015","PubMed","citation","PMID:25450795","pubmed","25450795","create date:2014/12/03 | first author:Geng T",
"Skeletal muscle mitochondrial DNA deletions are not increased in CuZn-superoxide dismutase deficient mice.","/pubmed/25449857","Wanagat J, Ahmadieh N, Bielas JH, Ericson NG, Van Remmen H.","Exp Gerontol. 2015 Jan;61:15-9. doi: 10.1016/j.exger.2014.11.012.","Exp Gerontol.  2015","PubMed","citation","PMID:25449857 | PMCID:PMC4289650","pubmed","25449857","create date:2014/12/03 | first author:Wanagat J",
"RNA-Seq-based transcriptome analysis of dormant flower buds of Chinese cherry (Prunus pseudocerasus).","/pubmed/25447903","Zhu Y, Li Y, Xin D, Chen W, Shao X, Wang Y, Guo W.","Gene. 2015 Jan 25;555(2):362-76. doi: 10.1016/j.gene.2014.11.032.","Gene.  2015","PubMed","citation","PMID:25447903","pubmed","25447903","create date:2014/12/03 | first author:Zhu Y",
"IS6110-5'3'FP: an automated typing approach for Mycobacterium tuberculosis complex strains simultaneously targeting and resolving IS6110 5' and 3' polymorphisms.","/pubmed/25447727","Thabet S, Karboul A, Dekhil N, Mardassi H.","Int J Infect Dis. 2014 Dec;29:211-8. doi: 10.1016/j.ijid.2014.10.004.","Int J Infect Dis.  2014","PubMed","citation","PMID:25447727","pubmed","25447727","create date:2014/12/03 | first author:Thabet S",
"Clustering of clinical and environmental Escherichia coli O104 isolates using the DiversiLab™ repetitive sequence-based PCR system.","/pubmed/25447271","Herbold NM, Clotilde LM, Anderson KM, Kase J, Hartman GL, Himathongkham S, Lin A, Lauzon CR.","Curr Microbiol. 2015 Mar;70(3):436-40. doi: 10.1007/s00284-014-0728-z.","Curr Microbiol.  2015","PubMed","citation","PMID:25447271","pubmed","25447271","create date:2014/12/03 | first author:Herbold NM",
"Identification of a novel large deletion in a patient with severe factor V deficiency using an in-house F5 MLPA assay.","/pubmed/25438872","Nuzzo F, Paraboschi EM, Straniero L, Pavlova A, Duga S, Castoldi E.","Haemophilia. 2015 Jan;21(1):140-7. doi: 10.1111/hae.12536.","Haemophilia.  2015","PubMed","citation","PMID:25438872","pubmed","25438872","create date:2014/12/03 | first author:Nuzzo F",
"A comparison of DNA methylation specific droplet digital PCR (ddPCR) and real time qPCR with flow cytometry in characterizing human T cells in peripheral blood.","/pubmed/25437051","Wiencke JK, Bracci PM, Hsuang G, Zheng S, Hansen H, Wrensch MR, Rice T, Eliot M, Kelsey KT.","Epigenetics. 2014 Oct;9(10):1360-5. doi: 10.4161/15592294.2014.967589.","Epigenetics.  2014","PubMed","citation","PMID:25437051 | PMCID:PMC4622657","pubmed","25437051","create date:2014/12/02 | first author:Wiencke JK",
"Microfluidic continuous flow digital loop-mediated isothermal amplification (LAMP).","/pubmed/25431886","Rane TD, Chen L, Zec HC, Wang TH.","Lab Chip. 2015 Feb 7;15(3):776-82. doi: 10.1039/c4lc01158a.","Lab Chip.  2015","PubMed","citation","PMID:25431886 | PMCID:PMC4626017","pubmed","25431886","create date:2014/11/29 | first author:Rane TD",
"Computational intelligence-based polymerase chain reaction primer selection based on a novel teaching-learning-based optimisation.","/pubmed/25429503","Cheng YH.","IET Nanobiotechnol. 2014 Dec;8(4):238-46. doi: 10.1049/iet-nbt.2013.0055.","IET Nanobiotechnol.  2014","PubMed","citation","PMID:25429503","pubmed","25429503","create date:2014/11/28 | first author:Cheng YH",
"Digital dermatitis treponemes associated with a severe foot disease in dairy goats.","/pubmed/25428906","Sullivan LE, Evans NJ, Clegg SR, Carter SD, Horsfield JE, Grove-White D, Duncan JS.","Vet Rec. 2015 Mar 14;176(11):283. doi: 10.1136/vr.102858.","Vet Rec.  2015","PubMed","citation","PMID:25428906","pubmed","25428906","create date:2014/11/28 | first author:Sullivan LE",
"Allelic imbalance modulates surface expression of the tolerance-inducing HLA-G molecule on primary trophoblast cells.","/pubmed/25425608","Djurisic S, Teiblum S, Tolstrup CK, Christiansen OB, Hviid TV.","Mol Hum Reprod. 2015 Mar;21(3):281-95. doi: 10.1093/molehr/gau108.","Mol Hum Reprod.  2015","PubMed","citation","PMID:25425608","pubmed","25425608","create date:2014/11/27 | first author:Djurisic S",
"Assessing the accuracy of quantitative molecular microbial profiling.","/pubmed/25421243","O'Sullivan DM, Laver T, Temisak S, Redshaw N, Harris KA, Foy CA, Studholme DJ, Huggett JF.","Int J Mol Sci. 2014 Nov 21;15(11):21476-91. doi: 10.3390/ijms151121476.","Int J Mol Sci.  2014","PubMed","citation","PMID:25421243 | PMCID:PMC4264237","pubmed","25421243","create date:2014/11/26 | first author:O'Sullivan DM",
"Transcript profiling reveals auxin and cytokinin signaling pathways and transcription regulation during in vitro organogenesis of Ramie (Boehmeria nivea L. Gaud).","/pubmed/25415356","Huang X, Chen J, Bao Y, Liu L, Jiang H, An X, Dai L, Wang B, Peng D.","PLoS One. 2014 Nov 21;9(11):e113768. doi: 10.1371/journal.pone.0113768.","PLoS One.  2014","PubMed","citation","PMID:25415356 | PMCID:PMC4240604","pubmed","25415356","create date:2014/11/22 | first author:Huang X",
"Constructing protein-protein interaction network of hypertension with blood stasis syndrome via digital gene expression sequencing and database mining.","/pubmed/25412665","Lian YH, Fang MX, Chen LG.","J Integr Med. 2014 Nov;12(6):476-82. doi: 10.1016/S2095-4964(14)60058-3.","J Integr Med.  2014","PubMed","citation","PMID:25412665","pubmed","25412665","create date:2014/11/22 | first author:Lian YH",
"Quantitative cell-free circulating BRAFV600E mutation analysis by use of droplet digital PCR in the follow-up of patients with melanoma being treated with BRAF inhibitors.","/pubmed/25411185","Sanmamed MF, Fernández-Landázuri S, Rodríguez C, Zárate R, Lozano MD, Zubiri L, Perez-Gracia JL, Martín-Algarra S, González A.","Clin Chem. 2015 Jan;61(1):297-304. doi: 10.1373/clinchem.2014.230235.","Clin Chem.  2015","PubMed","citation","PMID:25411185","pubmed","25411185","create date:2014/11/21 | first author:Sanmamed MF",
"Research highlights: digital assays on chip.","/pubmed/25410901","Kim D, Wei Q, Kong JE, Ozcan A, Di Carlo D.","Lab Chip. 2015 Jan 7;15(1):17-22. doi: 10.1039/c4lc90119c.","Lab Chip.  2015","PubMed","citation","PMID:25410901","pubmed","25410901","create date:2014/11/21 | first author:Kim D",
"Quantification and dynamic monitoring of EGFR T790M in plasma cell-free DNA by digital PCR for prognosis of EGFR-TKI treatment in advanced NSCLC.","/pubmed/25405807","Wang Z, Chen R, Wang S, Zhong J, Wu M, Zhao J, Duan J, Zhuo M, An T, Wang Y, Bai H, Wang J.","PLoS One. 2014 Nov 18;9(11):e110780. doi: 10.1371/journal.pone.0110780.","PLoS One.  2014","PubMed","citation","PMID:25405807 | PMCID:PMC4236040","pubmed","25405807","create date:2014/11/19 | first author:Wang Z",
"Quantitative nucleic acid amplification methods for viral infections.","/pubmed/25403817","Gullett JC, Nolte FS.","Clin Chem. 2015 Jan;61(1):72-8. doi: 10.1373/clinchem.2014.223289. Review.","Clin Chem.  2015","PubMed","citation","PMID:25403817","pubmed","25403817","create date:2014/11/19 | first author:Gullett JC",
"Exon resequencing of H3K9 methyltransferase complex genes, EHMT1, EHTM2 and WIZ, in Japanese autism subjects.","/pubmed/25400900","Balan S, Iwayama Y, Maekawa M, Toyota T, Ohnishi T, Toyoshima M, Shimamoto C, Esaki K, Yamada K, Iwata Y, Suzuki K, Ide M, Ota M, Fukuchi S, Tsujii M, Mori N, Shinkai Y, Yoshikawa T.","Mol Autism. 2014 Oct 6;5(1):49. doi: 10.1186/2040-2392-5-49.","Mol Autism.  2014","PubMed","citation","PMID:25400900 | PMCID:PMC4233047","pubmed","25400900","create date:2014/11/18 | first author:Balan S",
"The impact of nevirapine- versus protease inhibitor-based regimens on virological markers of HIV-1 persistence during seemingly suppressive ART.","/pubmed/25397567","Kiselinova M, Anna M, Malatinkova E, Vervish K, Beloukas A, Messiaen P, Bonczkowski P, Trypsteen W, Callens S, Verhofstede C, De Spiegelaere W, Vandekerckhove L.","J Int AIDS Soc. 2014 Nov 2;17(4 Suppl 3):19823. doi: 10.7448/IAS.17.4.19823.","J Int AIDS Soc.  2014","PubMed","citation","PMID:25397567 | PMCID:PMC4225357","pubmed","25397567","create date:2014/11/15 | first author:Kiselinova M",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Validation of an ultrasensitive digital droplet PCR assay for HIV-2 plasma RNA quantification.","/pubmed/25397425","Ruelle J, Yfantis V, Duquenne A, Goubau P.","J Int AIDS Soc. 2014 Nov 2;17(4 Suppl 3):19675. doi: 10.7448/IAS.17.4.19675.","J Int AIDS Soc.  2014","PubMed","citation","PMID:25397425 | PMCID:PMC4225411","pubmed","25397425","create date:2014/11/15 | first author:Ruelle J",
"Accurate episomal HIV 2-LTR circles quantification using optimized DNA isolation and droplet digital PCR.","/pubmed/25397424","Malatinkova E, Kiselinova M, Bonczkowski P, Trypsteen W, Messiaen P, Vermeire J, Verhasselt B, Vervisch K, Vandekerckhove L, De Spiegelaere W.","J Int AIDS Soc. 2014 Nov 2;17(4 Suppl 3):19674. doi: 10.7448/IAS.17.4.19674.","J Int AIDS Soc.  2014","PubMed","citation","PMID:25397424 | PMCID:PMC4225365","pubmed","25397424","create date:2014/11/15 | first author:Malatinkova E",
"Beneficial effect of a high number of copies of salivary amylase AMY1 gene on obesity risk in Mexican children.","/pubmed/25394825","Mejía-Benítez MA, Bonnefond A, Yengo L, Huyvaert M, Dechaume A, Peralta-Romero J, Klünder-Klünder M, García Mena J, El-Sayed Moustafa JS, Falchi M, Cruz M, Froguel P.","Diabetologia. 2015 Feb;58(2):290-4. doi: 10.1007/s00125-014-3441-3.","Diabetologia.  2015","PubMed","citation","PMID:25394825","pubmed","25394825","create date:2014/11/15 | first author:Mejía-Benítez MA",
"Standardization of Nucleic Acid Tests for Clinical Measurements of Bacteria and Viruses.","/pubmed/25392365","Pavšič J, Devonshire AS, Parkes H, Schimmel H, Foy CA, Karczmarczyk M, Gutiérrez-Aguirre I, Honeyborne I, Huggett JF, McHugh TD, Milavec M, Zeichhardt H, Žel J.","J Clin Microbiol. 2015 Jul;53(7):2008-14. doi: 10.1128/JCM.02136-14. Review.","J Clin Microbiol.  2015","PubMed","citation","PMID:25392365 | PMCID:PMC4473239","pubmed","25392365","create date:2014/11/14 | first author:Pavšič J",
